ID_TWEET;TEXT_TWEET;SENTIMENT;AUTHOR_ID;CREATE_AT
1220103388001701888;Estoy mejorando mucho como arquitecto 🔥🍁;0;;
1174155955396894720;"@Soraya78971482 @Yudith11315438 @TeamBTSvotes @BTS_twt 😂😂😂 Al estar todos en verde es PERFECTO pero tengo más verdes que tu, así que estoy mejor jajaja

#MPN #ARMY #BTS #BoyWithLuv @BTS_twt";0;;
1174153735909662720;"@Soraya78971482 @Yudith11315438 @TeamBTSvotes @BTS_twt Jajaja estoy mejor que vos 😂😂

#MPN #ARMY #BTS #BoyWithLuv @BTS_twt";0;;
1054151415202017280;"Que ayer casi me matan, pilas con la confianza que dan a las personas que conocen y en poco tiempo ganan su confianza. 
Estoy bien.";0;;
1191924678262218752;@AnalyPattison Jajaja lo siento a esa hora ya estoy bien dormida. Disfrútenlo fans fieles al castigo. 😆;0;;
1011787835790319621;Increíble mi capacidad de cagar los días que estoy bien y tranquila.;0;;
972942756376129536;Si tú estás bien, yo estoy bien. Es neta.;0;;
1055403853368168448;Después de que se vayan, no sé qué dejarán. Ignoro si algo quedará en pie. Pero en todo caso, quedaremos nosotros, los que tenemos la esperanza intacta, las ganas, la fe... Eso no podrán destruirlo.;0;;
1184788300948819968;Feliz de haberlos tenido acá. Gracias por acompañarme siempre ❤️ en Belgrade, Serbia https://t.co/tvKxPY5IGA;0;;
1147264614578737154;«Estoy bien». El cortometraje que retrata la realidad que esconde el suicidio https://t.co/Pgn6UGp1Ee;0;;
1219627311412273153;Estoy bien ready pa’ repartir esto por mi TL hoy. https://t.co/zy9Ezfrpit;0;;
933386679813099521;A veces siento que estoy bien empinado, pero luego veo a mis amigos con 4tas y 5tas yéndose de peda, y se me pasa;0;;
1170155770593366016;@Don_Arcilio No me jodas, yo que estoy bien contento... 🙄🙄🙄;0;;
1128431173968048129;@BiancaAbril12 No puedo creer lo hermosa que sos bebe. Gracias por acompañarme en todas las decisiones que tomo y apoyarme sin importar la distancia. Te amo siempre bombón ❣️;0;;
